,date,arrondissement,auteur,etoile,education,securite,loisir,sante,transport,qualite de vie,culture,commerce,environnement,commentaires
151,12-05-2019,8e,Mamacita,7.69,7,8,3,7,9,8,9,9,7,rrondissement en hypercentre proche de tout. Absence de délinquance si l'on ne traîne pas proche de la gare Saint-Lazare trop tard. Le quartier Monceau est familial. Beaucoup d'endroits pour sortir : cet arrondissement fourmille de vie.
152,17-03-2019,8e,Parisien,9.0,10,10,9,10,9,9,8,8,8,"uartier Europe métro Rome ! Idéal pour une famille car calme et sécurisé, loyer pas forcément plus cher qu'ailleurs même si hors de prix comme tout Paris ! Le parc Monceau est magnifique ainsi que le petit square des Batignolles. D'ailleurs la proximité avec le quartier des Batignolles est un vrai plus. Beaucoup de médecins, tout est accessible !
J'aime beaucoup mon quartier du 8e bien loin du coté bling bling et touristique des champs !"
153,01-10-2018,8e,Victo,6.81,8,5,4,7,9,7,9,7,4,"on avis concerne le quartier St Philippe du Roule / Rond point des champs. Très joli quartier, les immeubles sont superbes, les avenues également. Vous ne serez pas en manque de nouveaux resto, bars, boîtes à découvrir. La présence de beaucoup de musées, expo, galeries d'art est plus qu'agréable et en font un arrondissement très vivant. Beaucoup de commerces alimentaires (boulangerie, boucherie, épicerie, supérette, commerce bio) à proximité, sans parler du shopping ! Enfin, les écoles/collèges/lycées sont bien cotés."
154,08-03-2018,8e,Margaux98,8.5,6,8,7,8,10,9,8,10,7,"es transports. Énormément de ligne de bus et de métro passent par Saint-Lazare, d'ailleurs même à pied les monuments de Paris sont accessibles ( Opéra, Madeleine, Concorde, Musée du Louvre,...)
Énormément de commerces, de supermarchés, de magasins de prêt à porter que ce soit premier prix ou luxe.
Pas mal de restaurants, rue de Provence pour les restaurants chinois, des brasseries sympathiques un peu partout."
155,07-04-2017,8e,BB8,4.63,5,5,1,4,8,5,2,5,4,"e très beaux immeubles haussmannien. 
Beaucoup de commerces, centre médical. 
Très bien desservi (métro, bus, velib).
Propre."
156,21-06-2015,8e,TomTom,8.44,7,5,7,8,10,9,9,9,8,"ombreux transports : métro, bus, vélib, autolib, la gare Saint Lazare notamment
Beaucoup de monuments : Champs-Elysée, Place de L'Etoile, Grand et Petit Palais, Place de la Concorde, Pont Alexandre-III, Eglise de la Madeleine...
Beauté des bâtiments haussmanniens
Le Parc Monceau
Création récente d'un centre sportif ( piscine, gymnase, mur d'escalade... )
Pas mal de commerces, surtout des grandes enseignes"
157,04-11-2014,8e,mjaspard,4.44,5,3,4,5,7,4,5,6,4,"eaux bâtiments Haussmaniens comme à peu près partout dans Paris, la gare St Lazare pour rejoindre la mer, de bonnes brasseries et une riche offre commerciale."
158,10-07-2014,8e,Gally,7.0,7,9,1,4,9,8,7,8,3,"es transports : beaucoup de stations de métro, vélib, autolib ... 
C'est calme et globalement propre
Monuments historiques à proximité (comme partout à Paris ...)"
159,23-03-2014,8e,Antoine,6.44,8,8,2,6,9,7,5,3,6,"uartier calme, résidentiel, les établissement scolaires sont d'un bon niveau. Belle architecture : quartier qui est épargné de certains projets d'habitation immondes qui dénaturent la capitale."
160,20-02-2022,9e,Ccll09,8.06,8,9,8,9,8,8,9,10,4,"uartier bien situé,  proche Paris centre,  Montmartre et des gares,  toute la rive droite accessible à pied en 30 minutes max. Transports en commun nombreux,  commerces et restos très variés et de qualité. Petit arrondissement avec quatre quartiers aux ambiances très différentes. Architecture magnifique,  avec notamment la nouvelle Athènes."
161,07-01-2022,9e,Max du 9,8.13,10,7,7,8,10,8,9,10,5,"eaucoup de commerces,  de magasins,  restaurants,  bars,  Musée,  animation,  salle de spectacle.
C'est un quartier vivant de jour comme de nuit.
Des animations de quartiers régulièrement pour tout âge.
Beaucoup d'accès avec les transports en commun. "
162,18-11-2021,9e,Tom,3.88,6,3,1,6,6,3,8,7,1," Les nombreuses stations de métro aux alentours (mais qu'est-ce que c'est sale et mal fréquenté !)
- La patrimoine et les bâtiments
- L'accès à la culture."
163,30-10-2021,9e,Sam,4.94,4,0,4,8,7,5,7,9,0,"uartier au demeurant sympathique, des cafés sympas. Des marchés au top. Très beau quartier. Animé,  beaucoup d'espaces verts,  très bien desservi en transport en commun."
164,23-09-2021,9e,Tracks,8.5,8,9,9,9,7,9,8,9,5,"ranchement un super arrondissement bien desservi en transport, l'ambiance village, une offre culturelle abondante."
165,09-09-2021,9e,Hpm,2.0,5,5,5,5,5,0,5,2,0,"ransport,  le quartier est bien desservi."
166,12-03-2021,9e,panam,8.81,7,5,7,9,9,10,9,10,5,"uartier très agréable à vivre,  très bien situé et de plus en plus calme au niveau de la circulation. gros coup de coeur pour la rue des martyrs pleine de charme et de commerces délicieux"
167,09-09-2020,9e,Dakota 63,8.75,8,7,7,10,10,9,9,9,8,"mplacement exceptionnel tout est à quelques pas : transports, métros, rer, bus à foison pour se déplacer dans toutes les directions, bars, restaurants, théâtres, Olympia tout à pieds, opéra Montmartre, grands magasins, enfin tout. Le vrai Paris plein de charme."
168,30-07-2020,9e,Granit,7.19,10,9,8,9,9,6,10,10,2," quartier très joli et vivant, typiquement parisien
- nombreux théâtres
- beaucoup de commerces de toutes sortes
- beaucoup de restaurants de qualité (du choix pour les vegans)
- sentiment de sécurité
- transports performants, arrondissement traversé par de nombreuses lignes de métro
- idéalement situé entre Opéra et Pigalle, et entre Gare St Lazare et Gare du Nord, tout est « proche » d'un coup de vélo (J'ai même pris l'habitude de tout faire à pied depuis que je vis dans le 9ème)."
169,05-05-2020,9e,Callie,8.38,8,6,8,7,9,9,9,9,6,"rrondissement agréable, de nombreux commerces à proximité et très bien aussi niveau transports."
170,16-04-2020,9e,Mareck,2.44,0,4,0,7,7,1,5,5,3,"e peu de fréquentation dans les commerces d'alimentation permet de faire rapidement ses courses.
Le quartier est très ""vivant"", entre les fan de pharmacie opaques,  les bobos, les SDF et les touristes ainsi que les fêtards, si vous aimez les grosses ""ambiances"", vous allez être servis.

Franchement, je trouve les parisiens normaux voire même sympathique, étant issue de la banlieue et des Antilles, je ne comprend pas cette réputation qui leur est attribué à tort par les touristes, provinciaux, et la périphérie dans sa globalité."
171,23-02-2020,9e,Vicc,8.94,6,9,4,9,8,10,9,9,9,"ie de quartier géniale, commerces, bars, opéra, centre de Paris à proximité, galeries La Fayette, aucun problème de sécurité, beaucoup d'infrastructures de santé, pas trop de circulation."
172,20-10-2019,9e,MParis9,9.13,10,8,9,9,10,9,10,10,8,"ie de quartier fantastique, commerces, théâtres, le vrai Paris. Beaucoup de restaurants. Sopi, Nouvelle Athènes, Opéra, Montmartre juste à côté, le centre de Paris à deux pas, le top. La vie la nuit, beaucoup de bars, discothèques et lieux mythiques."
173,25-08-2017,9e,Laurent_du_9e,8.63,9,7,6,9,10,9,10,10,5,"péra Garnier, Olympia, grands magasins, passages couverts, musée Grévin, beaucoup de cinémas et théâtres, arrondissement central, beaucoup de restaurants et bars, très dynamique avec implantation de sièges sociaux de grands groupes et de startup, très belle architecture des bâtiments en général, excellente desserte en transports en commun beaucoup de lignes de métros (2, 3, 7, 8, 9, 12, 13, 14) et RER (A, E) sans compter les nombreuses lignes de bus, mairie très dynamique à l'écoute de ses concitoyens, j'adore mon neuvième."
174,26-06-2017,9e,sophie,9.38,9,8,7,8,10,10,10,10,8,"n quartier qui a connu de grands changements en 15 ans. Idéal pour les gens qui recherchent l'animation et la culture. Une vie agréable avec une quantité de commerces, de restaurants, de cinémas, de théâtres, la librairie de Paris place de Clichy, la proximité des parcs Monceau et Clichy-Batignolles. Les grands magasins tout proches... Un quartier vivant (plein d'histoire : tous les peintres et musiciens vivaient là au 19e) et central avec un maximum de commodités."
175,04-05-2017,9e,sal14dh,6.81,5,4,7,7,9,7,7,8,6,"rès bien desservi, aucun besoin de voiture. Accès aux gares en 30 minutes max."
176,02-01-2017,9e,G0ur0u,9.06,10,9,8,9,9,9,10,10,8,"rès central, adapté aux familles. Culture au top (ciné, théâtres...). Très bonnes écoles."
177,03-10-2016,9e,AMG,8.69,8,8,8,9,9,9,9,10,6,"uper arrondissement, population agréable et dynamique, des infrastructures en nombre (transport, écoles, piscines, squares...)"
178,04-12-2015,9e,Cléclé,7.75,6,5,5,9,10,8,8,10,7," quartier animé mais paisible 
- beaucoup de commerces, très agréable 
- nombreux restaurants 
- au coeur de Paris"
179,21-08-2015,9e,mourkos,8.63,7,6,6,8,10,10,7,10,4,"rrondissement plein de contraste entre le sud et le nord. Bien desservi par le métro, beaucoup de commerces de proximité. La vie y est animée sans être trop bruyante"
180,16-07-2015,9e,Karl,6.13,7,7,5,9,10,5,8,10,2,"eaucoup de commerces alimentaires ouverts tard le soir.
Réseau de transports dense : 5 lignes de métro à moins de 10 minutes, idem pour les bus."
181,03-05-2015,9e,Annette,7.31,8,4,5,8,7,8,9,10,2,roximité de tous les services et loisirs possibles. Beau cadre de vie. Quartier animé de jour comme de nuit. Un lien entre des environnements très différents comme le marché de Barbes et le boulevard Haussmann.
182,31-03-2015,9e,Elliottt,6.56,7,7,7,6,10,6,10,9,1,"l y a toujours qq chose a faire dans le quartier, notamment martyrs - condorcet - trudaine. Entre les sorties culturelles, les bars restaurants. Une vraie vie de quartier"
183,31-01-2015,9e,Claude,4.69,5,0,0,0,10,5,10,5,5,"a culture, la bibliothèque et internet pour communiquer avec le monde extèrieur mais pas avec les administrations qui ne répondent jamais."
184,26-11-2014,9e,marc,7.94,9,6,6,8,10,8,9,9,6,"uartier très diversifié et assez central
Transports en Commun très denses et pratiques
un quartier attachant"
185,06-11-2014,9e,Georges St,9.38,8,9,8,9,9,10,10,10,7,"alme mais vivant avec ses nombreux petits restaurants, de nombreux commerces par exemple rue des Martyrs, l'architecture du début du XIXeme (quartier de la nouvelle athène)"
186,20-09-2014,9e,MMI,8.44,8,7,6,8,9,9,8,9,8,"usée, Opéra, cinémas, transports, commerces, qualité de l'immobilier, sécurité...
Il y a également beaucoup de commerces ouverts le soir sans parler des restaurants également ouverts...
Une proximité immédiate également avec le 1er et 8ème arrondissement et le fait que le quartier soit centrale permettent de trouver son bonheur sans avoir à utiliser les transports en communs.
Une maire active ! 
Quartier très très agréable entre les places de l'Opéra et de la Madeleine.
Il y a beaucoup d'hôtels particuliers et musée à découvrir."
187,09-09-2014,9e,kiwi,8.88,8,9,8,9,10,9,9,9,8,ous à proximité et il fait bon vivre. Il existe une proximité entre commerçants et habitants. Très agréable
188,14-06-2014,9e,Claude,5.25,5,5,5,6,6,5,6,6,5,"rrondissement ni meilleur ni mauvais, normal."
189,17-02-2014,9e,parisian,9.44,9,10,9,7,9,10,10,9,8,"lairement c'est l'un des quartiers parisiens pour moi des plus tranquile, où règne une qualité de vie presque provinciale. Peu de touristes (en dehors des Grands Magasins). Tout le monde se connait, et se voit avec beaucoup de convivialité. Le quartier se boboise mais ce n'est aucunement un mal. La sécurité encadre l'ensemble du quartier qui est même fermé à la circulation automobile à certaines heures (voir quartiers Martyrs)"
190,15-01-2022,10,Villon,8.13,9,6,8,8,9,8,8,10,8,"rès bien desservi par les transports,  mix de quartiers populaires et plus bourgeois,  tous les commerces y sont représentés,  il y a une foule de bars et de restaurants,  la présence de deux gares majeures."
191,26-12-2021,10,Pierre54,9.5,9,8,9,10,10,10,9,9,8,"n arrondissement dans lequel je vis depuis ma naissance et que j'aime.
Central,  bien desservi,  multiculturel,  avec trois hôpitaux et deux gares,  je ne me verrai pas vivre ailleurs.
La municipalité est active pour faire avancer les choses. Que du positif."
192,20-12-2021,10,Xgb,8.25,9,9,9,9,10,8,9,9,4," plein de vie culturelle et de vie locale,  marchés,  bars,  restau
- reste un arrondissement avec de la diversité
- très bien desservi
- en 10 ans je ne me suis jamais senti en insécurité
- le canal St Martin est hyper agréable
- bonnes écoles"
193,04-12-2021,10,Plebuse,7.94,10,7,9,9,10,7,10,10,6,"uartier cosmopolite,  central,  très commercial,  plein de bars et de restos,  donc très passant... Des qualités qui viennent avec les défauts afférents (du monde dans les rues,  du bruit,  des sirènes). Je ne m'y suis jamais senti en insécurité. Parmi les meilleures écoles de Paris (1er lycée de France: Bossuet notre dame). Hyper bien desservi. Le canal est super sympa,  j'y cours toutes les semaines jusqu'à Pantin.
Si vous aimez un quartier pépère ce n'est pas pour vous. Si vous aimez la vie,  c'est un excellent quartier."
194,03-11-2021,10,Marie,1.75,5,0,4,4,7,0,4,4,0,"are du Nord:
Le RER B: pratique pour rejoindre CDG ou Orly via Anthony.
L'Eurostar pour rejoindre Londres."
195,24-08-2021,10,Domingo75,3.5,5,2,2,4,4,3,5,8,2," Nombreux restaurants,  cafés sympa
- Beaucoup de choix de commerce bio (La Vie Claire etc.)
- Médiathèque Françoise Sagan qui apporte un vrai plus dans le quartier
- Accès aux quais de Seine et au centre de Paris en 20-25 minutes à pied."
196,07-08-2021,10,Paris75010,8.44,9,6,8,9,8,9,8,9,6,"'y vis et travaille depuis plus de 3 ans et fréquente le quartier depuis plus de 20 ans. C'est un arrondissement calme,  central,  en plein cœur de Paris,  idéalement desservi par les transports,  avec quand même en son sein la plus grande gare d'Europe,  la gare du Nord,  qui dessert l'international et est très pratique. Beaucoup de commerces de tous types,  très animé,  cosmopolite,  avec comme artère principal le boulevard de Magenta,  un des plus beaux de Paris avec ses immeubles haussmanniens somptueux. Je vis dans le sud de l'arrondissement,  à la limite du 11ème et du 3ème,  près de la place de la République,  avec le canal Saint-Martin tout près,  ces petites rues chargées d'histoire et j'adore ce quartier,  je porte le 10ème profondément dans mon cœur. On y trouve de tout,  dans un esprit village,  en plein centre de Paris,  on peut aller partout à pied. Plusieurs grands hôpitaux,  nombreux médecins,  marché Saint-Quentin très bien achalandé,  vraie vie de quartier,  petites rues calmes,  pléthore de bars,  restaurants très variés,  du plus branché au plus abordable et simple,  et surtout sans prétention et avec une bonne ambiance."
197,28-04-2021,10,Jean_Gavroche,3.0,6,0,5,7,7,1,7,7,1,"'habite dans cette arrondissement depuis 2 ans. Des bons bars pas très chers et bonne ambiance,  un bon réseau de transport et pas mal de commerces."
198,07-03-2021,10,Habitant du 10e déçu,3.13,1,1,4,2,5,3,5,5,3,"rrondissement bien desservi,  canal saint martin,  quelques bon restos et bar branchés."
199,14-02-2021,10,Picorette,3.63,5,3,4,4,7,3,5,3,3,"u très gros potentiel : avec le canal saint martin ""espace bleu"" de Paris et la rénovation de la grande gare du nord : on attend tous le résultat avec impatience ; pourvu que ça marche et que le quartier La Chapelle/Louis Blanc redevienne ce qu'il était."
200,09-02-2021,10,ChloeDawkins,8.25,6,6,7,8,9,9,7,10,7,"'habite à Jacques Bonsergent.

Un quartier vivant,  avec de nombreux commerces de proximité qu'on prend plaisir à découvrir. De nombreux bars et restaurants tous très bons,  bien qu'un peu chers. Et le fameux Holybelly,  resto australien de pancakes,  avec sa queue qui s'étire sur toute la rue. La fameuse boulangerie Du pain et des idées,  excellente mais très chère.

La rue Saint-Denis pour sortir (le bar du Château d'eau est très sympa,  les consommations sont peu chères,  bar de quartier).
Le Point Ephémère,  un bar avec des événements sympas.
Le Rex,  une boîte avec des programmations sympas parfois.

Pour le shopping,  il y a ce qu'il faut vers Beaurepaire et pas mal de petites friperies. (pas mal de modasses aussi)

Le canal saint-martin,  où la circulation automobile est partiellement coupée le dimanche pour se balader."
201,19-01-2021,10,Chrisonpp,2.81,4,3,2,7,2,2,4,7,0,'est encore accessible en terme de prix et ça commence à être un peu moins le craignos.
202,16-01-2021,10,192,5.25,5,4,5,6,10,5,1,7,6,"xcellent réseau de transport. Tout est rapidement accessible : hyper-centre de Paris à 10 minutes en métro et 30 minutes max à pied,  bus,  noctilien,  RER,  Eurostar. C'est vivant,  ça bouge! Arrondissement qui ne conviendra sans doute pas à ceux qui recherchent le calme. Tout type de restaurants et de brasseries. Proximité du Canal Saint-Martin. Ca fait sept ans que je vis dans le 10ème et je constate qu'il y a un léger mieux pour prendre en charge les toxicomanes (merci à l'association Gaia): on ne retrouve plus de seringues ou des hommes qui se piquent au pied des immeubles comme c'était souvent le cas il y a plusieurs années."
203,02-01-2021,10,Stephane,7.69,9,7,9,9,9,7,9,9,6,"rrondissement plutôt cosmopolite (dans le bon sens du terme), beaucoup de restaus, commerces bobo
Les abords du canal saint-martin c'est juste génial
Les transports, métro, rer, bus
A noter la proximité avec la plus grande Gare d'Europe (Gare du Nord), pratique lorsqu'on revient de voyage
Le projet de renouveau de la Gare du Nord est une excellente chose pour le quartier, il permettra un renouveau de population qui traine parfois aux abords de la gare, cela dit on n'est pas en insécurité dans ce quartier, on n'est pas non plus dans le Ghetto !"
204,21-09-2020,10,goodluck,2.31,2,2,2,5,8,1,4,4,2,"aradoxalement le prix du M2, cela m'a permis de vendre au prix fort et de me barrer !"
205,08-09-2020,10,michelsante,6.5,7,5,7,7,9,6,8,8,5," Quelques espaces verts plutôt sympathiques (jardin Villemin, square Jules Verne) et une place Ste-Marthe qui est un vrai petit joyau.

- Concernant la sécurité, il y a selon moi deux 10ème arrondissements. Le premier allant de Belleville jusqu'à la gare de l'Est en passant par l'hôpital St-Louis, qui honnêtement est un quartier certes assez bruyant avec ses nombreux bars mais franchement pas très craignos. La seule chose que vous risquerez est un pickpocket (même si c'est évidemment inacceptable).

- Extrêmement bien desservi (beaucoup de bus et de lignes de métro, gares du Nord et de l'Est, RER E etc...), à 30 min à pied de l'hypercentre de Paris.

- Beaucoup de petits commerces et restaurants florissants très agréables.

- Offre correcte niveau sport et santé, et très bonne niveau culture : théâtres de la porte St-Martin, musées etc..."
206,05-09-2020,10,Un habitant du 10eme,4.25,6,2,7,7,8,3,5,7,2,"osmopolite, pas mal de petits commerces et de terrasses, écoles et hôpitaux nombreux. Transports en très grand nombre près de gare du Nord et gare de l'est : train, métros, bus."
207,13-08-2020,10,JmParisien,2.69,6,0,7,9,2,1,5,5,1,eaucoup de moyens de transports. Beaucoup de commerces. Les jolis bâtiments haussmannien.
208,20-06-2020,10,babaji,3.56,2,5,3,8,8,3,3,3,1,"rrondissement très central, parfaitement desservi et bien connecté à l'international (gares, Roissy). Le marché de st Quentin est bien. Le canal st martin est agréable lorsqu'il n'est pas envahi de soiffards."
209,07-06-2020,10,june,1.44,4,0,3,4,6,0,4,2,0,"es transports, mais pas plus ni moins qu'un autre arrondissement en étant presque au centre de Paris c'est normal de bénéficier des lignes qui y passent."
210,01-06-2020,10,LeParisienDu10e,7.13,8,6,5,9,10,7,7,10,3," Transports, transports, transports. Je connais aucun endroit mieux desservi dans Paris, plusieurs lignes de RER, bus, métro...

- On peut trouver n'importe quel commerce à proximité

- Le quartier promet de se développer avec les JO qui arrivent car c'est un lieu de passage inévitable pour les touristes (Gare du Nord & Gare de l'Est)."
211,25-05-2020,10,LeVerdier,3.19,4,0,5,5,8,2,5,8,0,uartier très central.
212,24-05-2020,10,Marco,1.5,5,0,2,3,4,0,7,2,1,"vec deux gares et la place de République, l'accès aux transports en commun est facile. Beaucoup de théâtre si vous osez vous y aventurer."
213,06-05-2020,10,GuyLiguili,8.06,6,5,8,8,9,9,8,8,5,"lein de cafés, restaurants et commerces à tous les prix.
Promenade agréable autour du Canal St Martin.
Médiathèque Françoise Sagan très agréable."
214,06-05-2020,10,bananas,7.5,8,4,10,10,10,7,8,10,4,"ransports, central avec tout Paris, certains espaces très mignons, petits commerces et marchés agréables et de très bonne qualité, facilité à trouver de bons médecins."
215,05-05-2020,10,Momo,2.5,4,0,3,2,4,3,1,2,0,"uartier populaire et familial.
Metro tout autour du quartier mais assez éloigné de certains endroits.
Solidarité entre certains habitants et pas de racisme.
Quartier multiculturel."
216,16-04-2020,10,Sly754,8.13,8,7,9,9,9,8,10,8,6,"n arrondissement vivant et divers, beaucoup de lieux agréables à vivre, beaucoup de restaurants et bars agréables, l'accès aux transports (2 gares, nombreuses lignes de métro et RER) et aux théâtres font de cet arrondissement un endroit agréable à vivre."
217,11-04-2020,10,Banicet,4.44,6,6,6,8,8,2,8,8,5,e quartier de la République est très central et très bien desservi au niveau transports. On y trouve tous les services publics.
218,22-03-2020,10,Kikoulol,3.5,5,3,4,9,10,2,2,7,0,"'habite en haut du faubourg poissonnière. En gros, entre Barbès et Anvers. Pour moi, le gros point positif est la position du quartier. Vous ne trouverez pas plus central à Paris. Que ce soit à pied ou en transport. 15 min à pied de République, 15 min de Lafayette, 5 min de Montmartre... Aussi, le quartier se développe énormément, je vois de nombreux commerces et brasseries émerger et la vie s'y développe de plus en plus. Le coin devient de plus en plus branché tout en gardant son authenticité. Et ça c'est génial ! Pour moi, c'est LE quartier en devenir.
En gros, arrondissement pour claquer des bises, fumer des clopes et boire des coups."
219,09-01-2020,10,refreshedsuggestion,4.88,3,0,7,7,6,5,5,7,3,"xtrêmement bien desservi par le réseau de transport, proche du centre à pied.
De bons commerces de proximité (souvent chers) et restaurants.
Structures sportives (surtout) et culturelles (un peu moins) intéressantes."
220,08-12-2021,11,JK11,6.88,7,5,5,7,9,7,8,10,3," Arrondissement dont la centralité lui permet d'être parfaitement relié au réseau de métro.
- Excellente offre de commerces de bouche
- Très grand nombre de restaurants
- Arrondissement sûr à l'exception des confins de Belleville (rue de l'Orillon)."
221,26-10-2021,11,KMT,8.44,8,8,10,9,9,8,10,9,8,"e 19ème est un quartier unique à Paris. Il faut y vivre pour le constater. Je n'avais jamais prévu de vivre dans ce quartier excentré de mon point de vue. J'ai habité dans le 17ème ( côté Villiers ) et dans le 13ème ( Place d'Italie ).  Franchement le 19ème est beaucoup mieux que ces quartiers où j'ai vécu. Ici les gens sont hyper sympa. Tout le monde dit bonjour à tout le monde dans mon immeuble et ça c'est un luxe à Paris. Dans cet arrondissement franchement les commerces de proximité tournent très bien. Les grands magasins sont au top,.  La culture est présente et les loisirs aussi. C'est un super quartier."
222,25-10-2021,11,Pandaone,5.63,3,1,8,10,10,5,8,10,0,"rès bien placé géographiquement au centre de Paris: on peut tout faire à pied,  très bien desservi par les transports en commun. Plein de commerces et services ( poste,  médecin,  impôts). Regorge de librairies ( pour combien de temps encore ? ). On peut vivre dans le 11ème sans en sortir,  il y a tout. Joli quartier plein d'histoire."
223,10-09-2021,11,11e,7.75,7,7,7,7,8,8,9,8,7," Emplacement idéal,  offre culturelle excellente (Atelier des Lumières,  la comédie du 11...),  Offre gastronomique incroyable...

Bref,  le 11e est un quartier très agréable à vivre,  multiculturel sans communautarisme,  populaire sans délinquance,  central sans les touristes."
224,30-08-2021,11,Irene,4.31,5,1,1,8,5,4,7,8,2,..
225,10-04-2021,11,CosaK,6.5,7,5,6,7,10,6,8,8,5,"uartier vivant,  nombreux commerces de bouches,  librairies,  restaurants ."
226,09-02-2021,11,clement,7.63,4,6,7,8,10,8,5,10,8,"rrondissement très appréciable de Paris où l'on trouve tout ce dont on a besoin. Il existe énormément de magasins de toutes sortes où vous pourrez trouver votre bonheur. Si à certains endroits (Nation,  République,  rue de la roquette) la sécurité laisse à désirer,  le 11eme arrondissement est un quartier tranquille où il ne manque pas d'activités pour se divertir. Il est très facile de se déplacer partout depuis le 11eme arrondissement grâce à son vaste réseaux de transport en commun."
227,30-01-2021,11,Lolilu,7.75,7,9,7,10,10,7,9,8,8,"ecteur Folie-Regnault / Père Lachaise
* Plus propre que le 3e/République d'où je viens !
* Commerces variés : Lidl,  Naturalia,  Carrefour,  Franprix,  Monop et des petites boutiques ""bobos"" à quelques pas,  vers St Ambroise
* Nombreux espaces verts aux alentours : le Père Lachaise bien entendu,  mais aussi les squares côté Roquette et St Ambroise et le terrain solidaire de quartier de Ménilmontant,  qui devrait,  sous pression des habitants,  redevenir un espace vert et sportif
* Secteur calme du 11e mais proche des secteurs vivants (St Maur/Oberkampf,  Voltaire/Roquette,  République)
* Je n'ai pas constaté de problème de sécurité,  malgré la cité de l'autre côté (la Banane du XXe)
* Les immeubles HLM aux alentours ont l'air entretenus et les locataires soigneux (levez le nez vers leurs balcons et vous verrez qu'ils les décorent et en prennent soin)
* La rue de la Folie-Regnault est très calme,  propre et plein de places de parking. L'autobus vous emmène direct Gare de Lyon.
* Lignes 2 et 3 du métro,  rapides et pratiques."
228,27-01-2021,11,Lupone,7.69,7,6,7,8,9,8,8,9,5,"rrondissement assez central. On peut marcher facilement jusqu'au Marais ou Les Halles.
Excellent niveau de transport en commun,  beaucoup de station métro/bus.
Présence commerces de qualité et tout type,  même à prix ""raisonnables"" si on cherche bien.
Présence bar et resto branchés. Parcs Square Gardette et Roquette sympa pour les enfants.
Niveau raisonnable de sécurité,  car il y a trop de gens partout en cas de besoin."
229,14-01-2021,11,Boboparis11,4.44,5,3,6,5,5,4,6,5,4,'est jeune et dynamique. Pas trop guindé.
230,30-12-2020,11,Baba75011,7.81,8,9,10,8,10,7,10,10,4,"e 11eme est un arrondissement assez central et très bien desservi.
Beaucoup de divertissements, bars, restaurants très branchouilles
Les places de la république, bastille et nation ont été réhabilitées et sont des lieux de vies beaucoup plus agréables pour les habitants.
J'y ai vécu 5 ans (Métro Charonne) et c'est un arrondissement parfait pour les 25-30 ans qui souhaitent sortir beaucoup."
231,13-12-2020,11,Frg,7.25,4,3,7,6,8,8,8,8,8,"l y a beaucoup de commerces et l'on est au centre de tout pour se déplacer, c'est agréable, la mairie a une politique d'embellissement et requalification plutôt visible.
Il y a des infrastructures de sport malgré la densité."
232,30-09-2020,11,Michel,9.56,8,9,9,10,9,10,10,10,8,"rrondissement très vivant, de très nombreuses librairies, des commerces d'alimentation très variés et d'excellente qualité. De grands espaces verts en plus de petits jardins comme le Père-Lachaise (très intéressant et calme comme on s'en doute) et les Buttes-Chaumont toutes proches."
233,17-09-2020,11,Paris11en,9.63,9,10,9,8,9,10,9,10,10,"xcellent quartier avec de nombreux restaurants, de nombreux commerces de proximité, une excellente vie de quartier. Ce quartier est ancien et proche du marais."
234,17-09-2020,11,Ben11,9.5,9,10,8,8,10,10,9,8,10,"e 11em est situé entre des places centrales (Bastille, République, Nation) qui ont toutes fait l'objet d'embellissements, de piétonnisation, végétalisation et piste cyclable. Le 11 ème est le quartier jeune et branché de la capitale. Tout le monde souhaite y vivre."
235,17-09-2020,11,Nouveau centre11,9.56,10,8,8,10,10,10,9,9,9,"e nouveau centre de Paris. De très nombreuses lignes de métros, commerces de bouche, cinémas etc. Le bois de Vincennes à proximité."
236,15-09-2020,11,AMH,8.0,6,7,8,7,7,9,7,9,5,"a vie est globalement agréable à Paris 11, il y a beaucoup de moyens de transport à côté, tous les commerces sont proches, il y a beaucoup de restaurants et bars, la ville est très animée. J'encourage à vivre dans Paris 11eme."
237,13-09-2020,11,Oberkampf75,9.56,9,9,9,10,9,10,9,8,10,"rrondissement vivant. Des quartiers animés, bastille, Oberkampf... de très nombreux commerces alimentaires, accès à tout les transports en commun. De nombreuses pistes cyclables. Des lieux culturels cinémas, théâtres, opéra salle de concert. Espaces verts, proche des gares pour s'évader rapidement. Excellente qualité de vie dans l'ensemble."
238,11-09-2020,11,Placetoparis,9.56,9,10,9,9,8,10,9,9,10,"e 11eme fait partie du top 3 des arrondissements les plus prisés de la capitale. Un arrondissement très festif, Bastille, Oberkampf, République, Nation. C'est animé et les bars et restos sont toujours pleins, de nuit comme de jour. Le 11e est un arrondissement culturel, salles de concerts, théâtres.

Des lieux historiques : Bastille, République. Des immenses places.

De nombreux parcs, squares, à deux pas du bois de Vincennes."
239,24-08-2020,11,soult,6.44,6,4,6,8,10,6,8,8,5,"ie culturelle très active, esprit petit village entre Faidherbe et Charonne
transports nombreux et ponctuels."
