,date,arrondissement,auteur,etoile,education,securite,loisir,sante,transport,qualite de vie,culture,commerce,environnement,commentairePositif,commentaireNegatif
101,Avis posté le 06-07-2015 à 17:30,paris-5e-arrondissement_75105,PPM13,8.81,8,9,7,9,10,9,8,10,8,"Les points positifs : Commerces, bars, restaurants, écoles, cinémas, universités, métros, bus et gares à proximité, à quelques minutes à pied de ND de Paris et du marais. Quelle vie !",Les points négatifs : Prix au m² très cher .. mais la qualité a un coût...
102,Avis posté le 14-01-2015 à 03:18,paris-5e-arrondissement_75105,Ancien d'la Rue de l'Estrapade,8.56,10,8,5,9,9,9,9,8,7,"Les points positifs : Quartiers très animés surtout vers Mouftard et Saint Michel (pub, etc)
Des commerces de proximités, superettes partout 
Un quartier culturel et une ambiance jeune et universitaire avec les nombreux lycées et universités 
Jardin des Plantes, Luxembourg
Assez paisible la nuit 
Population agréable 
Restaurants très nombreux pour tous les goûts 
Très bien desservi au niveau des transports 

Le meilleur quartier de Paris","Les points négatifs : Prix de l'immobilier qui devient réellement rédhibitoire
Des infractions de plus en plus fréquentes
Pollution 
Peu de place pour se garer"
103,Avis posté le 15-12-2014 à 00:56,paris-5e-arrondissement_75105,anita,4.50,8,2,6,8,9,3,6,8,1,Les points positifs : quais de seine et ses petites rues/ jardin des plantes/transports/magasins/supermarchés/boutiques sympas/petits restaus( je parle pas en bas de saint michel!)centre mutualité,"Les points négatifs : aahhh j'y suis née mais je n'y reste pas.
Je préfère préserver mes poumons, trop de pollution, c'est de pire en pire, vous me direz c'est Paris...oui mais bon dans d'autres quartiers on le ressent moins.
Ensuite niveau sécurité, à l'époque de ma tendre adolescence je pouvais me balader sans problèmes le soir, même tard, mais depuis maintenant 10ans, le soir je marche avec les yeux dans le dos au cas où on viendrait m'importuner et me demander de donner mon téléphone gentiment ou autres.J'ai même discuté avec un policier qui m'a dit que le quartier avait vraiment changer et qu'il ne se baladerait pas le soir seul!ils sont débordés...
Il y a aussi le cas du vomi, pipi,caca qui est assez sympa vers rue des écoles. Faites attention où vous marchez. Bref je suis peinée que mon quartier d'enfance qui était si agréable à l'époque est pu se transformer ainsi. En gros le soir, ça craint!"
104,Avis posté le 01-11-2014 à 23:22,paris-5e-arrondissement_75105,Patrick,2.69,4,5,1,5,6,2,3,2,1,Les points positifs : Beaucoup de transports,"Les points négatifs : beaucoup de monde, beaucoup de roms et de pickpockets. insuffisance des emplacements - se garer - pour vélos et scooters depuis 5 ans;
rues piétonnes en fait usées que par les touristes
le 5ème arrt, ne vous en étonnez donc pas, est un désert culturel"
105,Avis posté le 26-05-2021 à 10:46,paris-6e-arrondissement_75106,dddl,9.06,10,10,9,10,8,9,10,9,7,"Les points positifs : Mon arrondissement préféré,  le sixième est un quartier calme et le seul quartier avec 0 délinquance.
Les immeubles y sont magnifiques,  notamment le quartier saint germain- odéon.
Au cœur du sixième se trouve le jardin du Luxembourg et c'est assez agréable d'avoir un peu de verdure pas très loin pour se promener le week-end.
Le sixième comprend de nombreux bars,  restaurants,  cafés et terrasses. Il comprend également beaucoup de librairies et de musées (comme le musée du Luxembourg).
Depuis le confinement,  beaucoup de pistes cyclables ont été installées,  c'est très pratique pour prendre le vélib mais c'est un peu moins agréable pour les conducteurs de voitures.","Les points négatifs : LE PRIX! Les loyers sont encore pires que dans les autres arrondissements de Paris,  le quartier Saint-Germain - Odéon est le plus cher de Paris.
Il y a beaucoup trop de touristes durant l'été! Depuis le coronavirus il y en a beaucoup moins et c'est très agréable."
106,Avis posté le 09-12-2020 à 12:53,paris-6e-arrondissement_75106,jeannedes,6.94,9,8,7,9,7,6,9,9,5,"Les points positifs : Cet arrondissement possède de multiples qualités : de nombreux espaces verts ( le magnifique jardin du Luxembourg),  une ambiance sereine ( de sécurité j'entends), il est très bien desservi et se dote de deux super lignes de métro que sont la 12 et la 4. De nombreux petits commerces, marchés ( allée Sonya Rykiel ),  le bon marché pour les fines bouches, beaucoup de cinémas et de théâtres,  la vie culturelle est très riche,  par contre pour le sport j'imagine qu'il doit y avoir ce qu'il faut puisque je n'y vais pas.
Le 6eme se dote,  paradoxalement, de la pharmacie la moins chère de Paris ( citypharma).","Les points négatifs : LE bruit ! Oh mon dieu,  cet arrondissement aurait pu être parfait mais les nuisances sonores me font le détester de plus en plus, je vis entre le boulevard Raspail et la rue de Rennes et c'est un véritable enfer, je dois dormir toutes les nuits avec des bouchons !! Les voitures ne s'arrêtent jamais,  c'est une vraie parade! En hiver, l'air est supportable mais l'été ( avec toutes ces voitures) on sent vraiment la pollution. De plus, les commerçants ""profitent"" de la réputation du 6eme et de ses habitants pour y proposer des prix exorbitants, je pense notamment aux cafés, restaurants, salon de coiffure etc. Si vous voulez vivre convenablement ici mieux vaut être TRÈS riche, riche ne suffit plus à ce niveau là.
J'y habite seulement pour l'année dans un studio et je compte déménager, donc je sais ce que je dis."
107,Avis posté le 07-05-2020 à 11:30,paris-6e-arrondissement_75106,Paul,8.50,8,9,7,8,8,9,8,8,8,"Les points positifs : Quartier magnifique avec le jardin du Luxembourg, Saint Sulpice, le quartier Saint-germain...
Beaucoup de magasins indépendants comme chaines avec la rue de Rennes.
Proche de Montparnasse et des cinémas, restaurants.
Beaucoup de Bus et ligne de métro 4/12 permettant de facilement rejoindre les autres arrondissements.",Les points négatifs : Quartier très cher à l'achat.
108,Avis posté le 23-12-2019 à 13:04,paris-6e-arrondissement_75106,Louloudu6,9.38,9,8,8,7,10,10,10,9,9,"Les points positifs : Meilleure ville.
On s'y sent bien vivre, aucun nuisance d'aucun type
Des bâtiments magnifiques
Les cafés les plus connus de Paris
La Rue de rennes et ses commerces.","Les points négatifs : Trop cher.
Sinon il n'y a pas trop de points négatifs à ajouter à part la population locale pouvant être de tant à autres légèrement hautaine et se comporter comme des rois alors qu'ils sont personnes en fait."
109,Avis posté le 27-09-2019 à 13:12,paris-6e-arrondissement_75106,disette,4.31,7,7,5,8,9,2,8,8,1,"Les points positifs : Je suis resté en location 3/4 ans autour de Duroc/Vaneau.
Excellente couverture en métro qui donne accès à tout Paris. Métro 10 peu fréquenté même en heure de pointe.
Bonne offre culturelle, en particulier les cinémas de Montparnasse.
Beaucoup de commerces, de boulangeries, de magasins culturels. Restaurants variés, il n'y a pas que des kebabs.
Beaucoup de médecins.","Les points négatifs : Beaucoup de béton, de pollution. Rues très bruyantes, des travaux tout le temps. Bouchons et coups de klaxon systématiques en heure de pointe. Double vitrage obligatoire (je n'en avais pas malheureusement dans mon vieil appart). Difficile d'ouvrir les fenêtres sans être assourdi par le bruit, même le week-end.
Zéro parcs et verdure, à part le jardin du Luxembourg.
Pistes cyclables peu nombreuses, rues dangereuses pour les vélos mais cette remarque est valable pour tout Paris. Places de parking insuffisantes mais il faudrait être fou pour avoir une voiture ici !
Commerces chers, que des Franprix, Monoprix et Carrefour City qui abusent sur les prix. Il faut aller loin pour faire ses courses à prix ""raisonnables"".
Prix de l'immobilier excessifs.
Pour qui aime l'animation et la proximité avec tous les commerces et la culture, je suis certain que c'est un bon coin. Mais pour qui comme moi cherche un peu de tranquillité, le 6ème et globalement Paris dans son ensemble sont à éviter.

Adresse email invalide !!"
110,Avis posté le 22-03-2019 à 14:38,paris-6e-arrondissement_75106,Xoff,7.06,8,8,5,8,8,7,7,7,6,"Les points positifs : - Pour avoir vécu 10 ans dans le 19ème (que j'ai su apprécier malgré ses défauts), quitter le 6ème pour un autre arrondissement sera pour moi difficile, sauf à rejoindre le 5ème.
- Centre historique de Paris chargé d'histoire et qui continue à incarner une certaine vie parisienne.
- Quartier central et bénéficiant d'un accès optimal au réseau de transports.
- Jardin du Luxembourg qui figure parmi les rares grands parcs de Paris.
- Proximité immédiate d'établissements scolaires et hospitaliers renommés.
- Beaucoup de commerces dont certains de renommée internationale.
- Offre culturelle d'une extrême richesse : cinémas, théâtre, musées,…","Les points négatifs : - Prix du mètre carré hors norme dans une ville déjà devenue inaccessible à l'achat sans patrimoine de départ.
- Des supermarchés qui à quelques rares exceptions se contentent d'un assortiment déplorable proposé à des tarifs prohibitifs.
- Centre d'une ville dont l'air déjà très polluée à la base et souvent étouffant en été.
- Certaines zones, Saint Germain en particulier, envahies par les touristes.
- Paris est de moins en moins adaptée à la vie de famille, ça vaut aussi pour le 6ème qui est pourtant loin d'être le pire des arrondissements sur ce plan."
111,Avis posté le 22-10-2018 à 10:17,paris-6e-arrondissement_75106,cléopatre,7.44,8,8,2,7,8,8,8,7,7,"Les points positifs : Belle architecture du vieux Paris (notamment quartiers St Germain, Odéon, Monnaie), espaces verts (jardin du Luxembourg), culture (Notre dame, Conciergerie, Ste chapelle, proche musée Orsay et quartier latin, …) et loisirs (nombreux restaurants, cinémas, spectacles), proche grandes écoles, sentiment de sécurité et de bien être, transports en commun (très bien desservi : métro, RER, bus, taxis et proche toutes grandes gares), médecine.","Les points négatifs : Très très cher (immobilier : logements et parkings, commerces, …), gros embouteillages, nombreux mendiants dans les rues, peu de chose pour le sport, pollution comme partout à Paris, souvent ""inondé"" de touristes ce qui est parfois pesant."
112,Avis posté le 25-07-2017 à 16:13,paris-6e-arrondissement_75106,gigi,3.19,8,2,6,6,8,1,5,5,3,Les points positifs : plus grand chose ;si ce ne sont des souvenirs;,"Les points négatifs : la rue de rennes et ses rues adjacentes sont couverts d'immondices laissés par les roms et des riverains peu scrupuleux lors de déménagements ou autres..;  des roms à tous les coins de rues, mendiants avec des enfants en bas âges, des chiens faméliques..;  je ne supporte plus  ce quartier."
113,Avis posté le 12-09-2016 à 17:38,paris-6e-arrondissement_75106,lll,8.75,10,8,6,9,10,9,9,9,7,"Les points positifs : pratique, connecté, agréable, calme, espaces verts à proximité. beaucoup de commerces, proche de la gare Montparnasse et connecté avec les autres gares.","Les points négatifs : circulation dense, forte mendicité, peu d'animation, cher."
114,Avis posté le 08-08-2016 à 14:43,paris-6e-arrondissement_75106,Kaposvar,7.75,8,8,5,8,9,8,10,9,3,"Les points positifs : Sécurité, Très belle architecture, Commerces, Espaces verts, Nombreux cinémas et théâtres.","Les points négatifs : Beaucoup de mendiants dormant souvent dans la rue, Trop de bruit dans certains quartiers, Nombreux embouteillages aux heures de pointe, Chaussées en mauvais état."
115,Avis posté le 14-09-2015 à 00:37,paris-6e-arrondissement_75106,Dikio,6.44,7,7,6,7,8,6,7,7,6,"Les points positifs : Un côté petite ville réside dans le sixième où tous les services (chers) se trouvent. L'architecture y est sublime et les transports en commun abondants. C'est la quintessence de l'esprit de Paris, avec ses bons et ses beaucoup moins bons côtés.","Les points négatifs : Trop vieux, trop bourgeois et trop cher. Le sixième n'est pas accueillant avec tout ceux sortant un tantinet soit peu de la ""norme"". On étouffe, et en même temps on s'y sent (relativement) pas trop mal."
116,Avis posté le 01-06-2015 à 22:50,paris-6e-arrondissement_75106,Ricky,8.69,9,9,7,8,9,9,8,9,8,"Les points positifs : Quasiment tout, j'y habite depuis 2001, rien à signaler, un beau quartier, riche et calme.","Les points négatifs : La pollution, mais bon c'est équivalent dans tout les autres arrondissements.
Le manque de salle de sport, mais c'est vraiment pour chipoter, car il y en a à moins de 15 minutes en transport !"
117,Avis posté le 18-04-2015 à 10:21,paris-6e-arrondissement_75106,Leparigot,7.88,9,8,6,8,9,8,8,8,6,"Les points positifs : Ambiance cosmopolite très vivante.
Proximité du Luxembourg et des quais de Seine.
Nombreuses Grandes Ecoles.
Beaucoup de cinémas.
Quartier Saint Germain très agréable de jour comme de nuit.
Nombreux magasins.","Les points négatifs : Immobilier hors de prix et commerces de proximité très chers.
Sans doute quartier un peu bobo/riche qui a perdu son âme des années 50."
118,Avis posté le 25-12-2014 à 00:20,paris-6e-arrondissement_75106,Tinalr,8.25,7,8,4,7,10,9,7,9,8,"Les points positifs : Magnifique arrondissement avec un merveilleux jardin, rue de Rennes/blv St germain pour les magasins, St germain et son bel esprit, transports, pleins cœur de Paris.","Les points négatifs : Loyer exorbitant, nb d'habitants/m2"
119,Avis posté le 10-10-2014 à 20:58,paris-6e-arrondissement_75106,HAH,8.75,10,8,7,9,9,9,10,8,7,"Les points positifs : Bien entendu tout ce qui a trait à la culture, à l'enseignement est exceptionnel.
Bon maillage de transports en commun (nombreuses lignes de métro) et gare Montparnasse à proximité. Le Jardin du Luxembourg est accessible à pied pour tout habitant de l'arrondissement. Commerces et services de proximité.",Les points négatifs : Les prix de l'immobilier (l'un des deux arrondissements les plus chers de Paris avec son voisin le 7ème). Difficultés pour se garer. Parfois sale.
120,Avis posté le 30-08-2014 à 19:09,paris-6e-arrondissement_75106,shark,7.75,9,8,6,7,7,8,9,7,7,"Les points positifs : Le Jardin du Luxembourg pour respirer, culture très présente, enseignement de grande qualité, sécurité très acceptable, tranquillité et bon niveau socio-culturel.","Les points négatifs : Peu de commerce de proximité, vie chère."
121,Avis posté le 19-05-2014 à 13:24,paris-6e-arrondissement_75106,Rastignac,8.00,9,9,5,9,9,8,8,9,6,"Les points positifs : Le Luxembourg, les transports, la proximité des écoles et des universités, arrondissement très vivant et convivial",Les points négatifs : Loyers prohibitifs (comme dans tout Paris)
122,Avis posté le 02-01-2022 à 22:25,paris-7e-arrondissement_75107,Sarah,9.50,10,10,8,9,10,10,8,9,8,"Les points positifs : Le meilleur arrondissement de Paris. Situé entre des monuments historiques qu'il est inutile de citer,  environnement à la fois chic avec tous les commerces nécessaires,  sans compter le bon marché,  des restaurants etc
Beaucoup d'espaces verts
Divers lieux d'activités culturelles
Un des meilleurs collège/lycée public de France.",Les points négatifs : Trop cher pour pouvoir acheter mais ça. ..
123,Avis posté le 18-12-2021 à 14:56,paris-7e-arrondissement_75107,pingouin,8.25,8,10,4,8,7,9,7,8,8,"Les points positifs : Arrondissement calme,  on s'y sent en sécurité. Belle architecture,  des espaces verts très corrects. Bonne éducation disponible (snob certes). Propre et correctement desservie par les transports (bus,  quelques métro). De bons marchés locaux et de la culture par-ci par-là.
En définitive,  un bon endroit où vivre si vous avez les moyens et que vous recherchez du grand calme proche du centre de Paris.","Les points négatifs : Ambiance huppée et chic qui va de paire avec les prix exorbitants des commerces,  de l'immobilier et de ses habitants souvent traditionnalistes même si ça a tendance à changer,  ça ne pose pas de problème peu importe si on se prête au jeu ou non."
124,Avis posté le 15-07-2021 à 23:11,paris-7e-arrondissement_75107,JMR,8.25,7,8,7,8,8,9,7,8,7,"Les points positifs : Arrondissement propre et agréable.
Des commerces de proximité de qualité.
Une desserte de transport efficace.
De beaux espaces verts.","Les points négatifs : Une présence touristique omniprésente pouvant être bruyante.
Nuisances importantes liées aux nouveaux modes de transport type trottinettes et vélo libre service."
125,Avis posté le 29-09-2020 à 14:05,paris-7e-arrondissement_75107,PierreParis7,8.38,9,8,8,10,9,8,9,10,7,Les points positifs : Beau quartier. Beaucoup de commerces et de restaurants pour tous les goûts. Vie culturelle riche. Habitants courtois et sympas. Ecole de très haut niveau. Facile de se garer avec ses grandes avenues.,Les points négatifs : Manque un peu d'animation parfois mais c'est la contrepartie du calme. Certes ce n'est pas donné pour y habiter...
126,Avis posté le 22-09-2020 à 11:30,paris-7e-arrondissement_75107,Chloé,9.31,10,9,7,9,6,10,10,8,10,"Les points positifs : L'arrondissement très parisien, vous trouvez de nombreuses boutiques antiquaires et galeries d'art  dans le quartier près de la seine, le centre commercial bon marché et la grande épicerie de Paris. Si on cite quelques sites touristiques:  la tour Eiffel,   le musée d'Orsay,  le musée Rodin,  le musée Maillol, le musée de légion d'honneur, les invalides. ... vous trouvez aussi l'Ecole des beaux arts de Paris,  Science Po.... Nombreux espaces verts dans tous les quartiers du 7e.  l'arrondissement très calme et surtout  très sécurisant !",Les points négatifs : rien !
127,Avis posté le 10-09-2020 à 10:13,paris-7e-arrondissement_75107,dsmr,7.25,6,10,1,6,8,8,6,7,8,"Les points positifs : un quartier très safe, puisque la police à tous les coins de rue en raison de tous les ministères.
quartier agréable puisque parc, et peu de volume sonore.","Les points négatifs : cependant, quartier mort, aucun bar pour boire un verre entre amis le soir. j'y vis, et je n'ai jamais croisé de personne racisée, la population qui s'y retrouve n'est qu'uniquement blanche et friquée, c'est de l'entre soi bourgeasse..."
128,Avis posté le 06-07-2020 à 23:47,paris-7e-arrondissement_75107,Bestimus,8.75,7,10,3,7,9,10,9,5,10,"Les points positifs : Le quartier le plus chic de la capitale. Un véritable bonheur de vivre au bord de Seine à côté du Louvre et du jardin des Tuileries ! L'environnement est très rassurant, les rues propres, l'arrondissement est bien desservi, tout est proche à pieds,. .. Vous ne pouvez pas être déçu d'habiter dans un tel arrondissement !","Les points négatifs : Les loyers sont très élevés, la moyenne d'âge doit être de 80 ans au moins, aucune infrastructure sportive,. .. Un peu lourd quand on est dans la vingtaine car pas de cinéma, de fast food, de bar sympas mais seulement des boutiques de vieux ou des galeries d'arts."
129,Avis posté le 06-07-2020 à 15:47,paris-7e-arrondissement_75107,Loufi,2.25,1,2,2,2,1,3,1,2,1,"Les points positifs : Très peu, arrondissement mort et mortel, donc le calme relatif la nuit peut être un atout. Proche de l'hypercentre en transports.","Les points négatifs : Absence de tout : commerces quasi inexistants et hors de prix, absence totale d'animation et d'ambiance nocturne. Quasi aucun lieu de convivialité, arrondissement envahi de touristes !"
130,Avis posté le 15-06-2020 à 17:42,paris-7e-arrondissement_75107,Fluffy,6.56,6,7,5,7,7,7,7,7,3,"Les points positifs : Le septième est extrêmement bourgeois, il n'y a aucun métissage social. C'est un ghetto bourgeois. Très agréable si on a l'argent nécessaire pour y vivre, mais c'est un entre-soi. Culturellement intéressant avec des musées comme le musée Maillol et architecturalement avec les Invalides et la Tour Eiffel. Beaucoup de commerces rue de Sèvres et rue du Bac. Le soir c'est mort ! Ce n'est pas un arrondissement chaleureux où on va boire un verre entre amis le soir venu. De bons restos et un arrondissement calme la nuit. Aucun souci de sécurité, c'est l'arrondissement  où il y a le plus de ministères !",Les points négatifs : Trop bourgeois et pas assez vivant. Gens pas toujours très sympas et très prout-prout ! J'ai testé pour vous pendant huit ans ! Beaucoup de trafic la journée gare à la pollution ! Loyers prohibitifs et commerces à l'avenant.
131,Avis posté le 19-01-2020 à 23:43,paris-7e-arrondissement_75107,Ouioui,6.69,8,10,7,6,7,7,1,4,8,"Les points positifs : De nombreux espaces verts, des monuments parmi les plus connus de la ville (la Tour Eiffel est somptueuse), les musées sont très beaux (Rodin, Branly et Orsay), au bord de la Seine, quartier très calme et sécurisé, le Trocadéro est proche, comme Montparnasse, Saint Germain et le 15e.","Les points négatifs : Quartier ennuyeux, très vieux, vide, avec principalement des touristes, pas de loisirs, aucun cinéma (oui oui aucun, La Pagode est « en travaux » depuis des années et ne semble pas près de réouvrir), des commerces très chers, difficile de manger avec pas grand chose, aucun centre commercial, aucune rue agréable où on a envie de passer une soirée, aucune vie de quartier. Bref le genre de quartier plus à visiter qu'à vivre."
132,Avis posté le 30-08-2018 à 01:21,paris-7e-arrondissement_75107,Marie Ange,5.38,7,8,5,6,8,4,7,5,8,"Les points positifs : Un arrondissement central très sécurisé et globalement très calme.
Présence de nombreux espaces verts (champ de mars, breteuil, jardin et esplanade des invalides) quelques squares.
Commerces de bouche à profusion, plutôt raffinés, supermarché ouvert jusqu'à 23h mais dont les prix sont très élevés comparé aux prix standards, marchés réguliers et de qualité encore une fois les prix des produits sont assez élevés.
Quelques rues gentiment animées comme la rue Cler.
Écoles et lycées de qualité, public et privés.
Transports en commun idéal avec plusieurs lignes de bus et métro qui desservent les 4 coins de Paris.
Architecture agréable, musées nombreux.","Les points négatifs : Arrondissement tape à l'oeil Et au porte monnaie.
Coût des consultations médecin et spécialistes qui dépasse l'entendement (290 euros l'échographie option vue sur la Tour Eiffel dans un cabinet rue de grenelle) mais il faut bien payer le loyer.
Prix des loyers très très élevés mais qui se justifie en partie par la beauté des lieux et la tranquillité générale.
Malheureusement aucune chaleur humaine dans cet arrondissement, beaucoup d'individus font semblant d'être « autre chose «  que ce qu'ils sont vraiment, et oublient de dire bonjour. 
Le comble étant de voir disparaître des objets entreposés dans un local (inaccessible par les non résidents) pour le passage des encombrants en vue de leur donner une deuxième vie notamment en faveur des personnes en difficulté.. et bien les voisins les ont piqués !"
133,Avis posté le 02-08-2018 à 15:00,paris-7e-arrondissement_75107,Kaposvar,9.00,9,9,6,8,8,10,8,8,8,"Les points positifs : Il s'agit de l'arrondissement le plus agréable de Paris. Grande sécurité, population agréable, architecture magnifique. On est en plein centre de Paris sans les nuisances. Beaucoup de squares et d'espaces verts.",Les points négatifs : Immobilier hors de prix. De plus en plus de mendiants dans les rues mais cela concerne l'ensemble de la capitale.
134,Avis posté le 13-06-2018 à 12:52,paris-7e-arrondissement_75107,Wanwan75007,8.31,10,10,6,9,9,8,10,8,7,"Les points positifs : Un arrondissement assez calme sauf l'axe du Boulevard St Germain. Des nombreux transports, monuments, musées, on y mange très bien. Globalement bien.","Les points négatifs : Coût de la vie important. Manque de gymnases mais il y a les quais de seine pour courir (notamment). Si vous aimez les fast-food, il n'y en a pas par contre."
135,Avis posté le 24-04-2018 à 18:49,paris-7e-arrondissement_75107,esther,4.50,4,6,5,5,7,4,4,4,5,Les points positifs : Un square près de la station métro Sèvres Babylone (malgré tout flanqué au croisement de deux boulevards très bruyants et passants) et un jardin plus calme non loin de la rue de Sèvres.,"Les points négatifs : Les gens qui y vivent et y travaillent; le mépris suinte de partout par là bas si vous n'avez pas la même allure et les mêmes ""codes"" que celles et ceux qui vous entourent. Et ne parlons pas des prix partout et pour tout, ça va avec ""la clientèle"" de cet arrondissement. Le PAF y crèche pas mal...rien d'étonnant."
136,Avis posté le 18-03-2018 à 15:20,paris-7e-arrondissement_75107,Mizou77,3.50,8,8,2,2,8,2,8,2,2,"Les points positifs : Depuis 5 ans dans ce quartier ""prout-prout"", il faut reconnaitre que nous sommes au centre de tout.
Montparnasse est à 15 min, la ligne 8, le bus 80 et le Rer A n'est pas bien loin non plus !
Pas d'insecurité globalement meme si les vieilles personnes du ""7"" disent le contraire.","Les points négatifs : L'ambiance encore vieille France de certains, point d'orgue la sortie rue clermizou le dimanche pour le marché.
La population du quartier d'ailleurs, csp +++, expat', familles nombreuses et pieuses...bref, pas de vie de quartier, une amabilité en rapport avec le niveau de vie de ses habitants, en gros pas top.
Une quantité de pharmacies phénoménale au km2, des médecins généralistes à la consultation proche des 70e, je ne parle même pas des spécialistes.
La proximité de la tour Eiffel + le reste amène un bruit insupportable, les débiles de la vitesses passent en ferrari à fond (merci les loueurs) dans les rues type bosquet ou saint dominique pourtant chargées d'écoles et collèges sans que la police ne bouge...plutôt concentrée à verbaliser."
137,Avis posté le 19-02-2018 à 11:34,paris-7e-arrondissement_75107,Dan75007,6.19,8,2,6,6,8,6,8,8,5,"Les points positifs : Commerces, transports, écoles et situation géographique dans Paris.","Les points négatifs : Le bruit !!! trop de motos et scooters bruyants - aucun contrôle de la Police de ces engins qui ne respectent pas le Code de la route qui limite le bruit des engins à moteurs. 
Trop de SDF qui dorment sur les trottoirs des rues commerçantes - certains font leurs besoins dans la rue !!! Ce n'est pas digne de Paris qui en fait des tonnes pour attirer les touristes."
138,Avis posté le 21-04-2017 à 18:09,paris-7e-arrondissement_75107,Angeli,5.94,6,7,4,4,7,6,6,7,6,"Les points positifs : Proximité rues commerçantes (rue de Rennes, le Bon Marché, proximité gare Montparnasse) et quelques squares tranquilles.","Les points négatifs : Le prix des appartements. La clientèle est faite de professions libérales, de personnalités du PAF et la proximité des ministères n'arrange rien à l'affaire. Si vous n'avez pas de quoi payer un repas dans les rares brasseries du coin (proches Sèvres Babylone), ne cherchez pas une restauration bon marché à proximité du Bon Marché (ce qu'il était autrefois), vous pourriez vous casser les dents... ne cherchez pas la simplicité dans le coin, vous ne la trouverez pas."
139,Avis posté le 13-12-2016 à 11:32,paris-7e-arrondissement_75107,Gasp,8.63,8,9,6,9,7,9,10,9,8,"Les points positifs : Les monuments, les espaces verts, les musées, les belles galeries et boutiques de déco, le Bon Marché, des restaurants au top. Un coté chic provincial s'en dégage. Les quartiers de Saint Thomas d'Aquin et des Invalides, top.","Les points négatifs : Inadmissible. Manque de propreté, des ravalements : rues Saint Dominique, de Grenelle et de l'Université côté Gros Caillou (Malar, Jean Nicot, clinique de la vision etc…). Choquant pour un quartier près de la Tour Eiffel qui attire tous les touristes du monde."
140,Avis posté le 14-05-2016 à 00:26,paris-7e-arrondissement_75107,paris7,8.13,8,9,6,8,10,8,7,10,8,"Les points positifs : Très beau quartier, bien desservi en transports en commun, très chic...","Les points négatifs : Très cher que ce soit au niveau des supermarchés, bars, restaurants ... Peu animé le soir pour les étudiants, loyers prohibitifs,"
141,Avis posté le 13-02-2016 à 16:36,paris-7e-arrondissement_75107,mpsi,9.38,10,9,9,8,9,10,10,8,7,"Les points positifs : Cossu, bourgeois, très vert pour Paris, tour eiffel, champs de mars, invalides, touristiques...
Très beau cadre","Les points négatifs : Très cher, peu animé, pas très jeune, commerces trop touristiques, assez austère et pas assez divers"
142,Avis posté le 17-10-2015 à 17:33,paris-7e-arrondissement_75107,Balties,8.19,7,7,7,8,8,9,8,6,8,"Les points positifs : Arrondissement très sympa, pas de gros points négatifs, arrondissement très sûr le jour, il y a de bonnes écoles et les quartiers rue Cler et  rue du bac sont très vivants.","Les points négatifs : Il n'y a pas beaucoup de commerces à part quelques magasins luxueux (Bon marché...), loyers extrêmement chers (10 000 € du mètre carré) quartiers un peu morts la nuit voir ""dangereux"" vers le champ de mars la nuit (parfois prostituée et surtout trafic de drogues) mais le quartier reste pour moi très sympa."
143,Avis posté le 26-03-2014 à 17:25,paris-7e-arrondissement_75107,ParisienAvis,8.44,9,9,6,7,8,9,9,7,8,"Les points positifs : Au coeur de Paris, il comporte les monuments clés de la culture et de l'histoire de Paris, comme la tour Eiffel, les Invalides, le Musée d'Orsay, le Palais de la Légion d'Honneur... Un quartier magnifique, une architecture typiquement parisienne, des grands boulevards comme le Bd St Germain ou de la Tour Maubourg, de la verdure... Le quartier le plus aisé de Paris, et le plus prestigieux.","Les points négatifs : ""Victime"" de son statut d'arrondissement le plus cher de Paris, la vie y est assez onéreuse : commerces chers, médecins hors de prix (35€ la consultation), loyers astronomiques...
De plus, pas très vivant pour les jeunes, mais sa proximité avec le quartier étudiant et latin comble ce détail"
144,Avis posté le 07-09-2021 à 14:45,paris-8e-arrondissement_75108,Jésus,8.00,8,9,6,10,10,8,8,7,6,"Les points positifs : Beaucoup d'accès aux réseaux de transports,  c'est très bien desservi. Le cadre est très sympathique avec beaucoup de choses à faire. La police est partout près des Champs-Elysées,  donc niveau sécurité,  on fait difficilement mieux.","Les points négatifs : Les nuisances sonores,  il y a toujours du bruit. Tout le mois d'août dernier on entendait des sirènes dans la nuit et des crissements de pneus... Go fast ? je ne sais pas...
Aussi,  c'est pas incroyable d'habiter dans un quartier touristique. Les trottoirs sont facilement saturés,  notamment par la faute de touristes prenant en photo les plaques ""avenue des Champs-Elysées""."
145,Avis posté le 05-02-2021 à 00:50,paris-8e-arrondissement_75108,Marilou,8.38,9,8,7,9,10,8,9,10,8,"Les points positifs : Les transports avec une gare, un RER et 3 lignes de métro à proximité. Tous les commerces variés petits et grands. plusieurs cinémas et théâtres si proches qu'on peut sortir à pied. Quartier où l'on se sent en sécurité. L'architecture des beaux bâtiments haussmanniens. De nombreux restaurants.","Les points négatifs : Les bruits festifs par moment gênant.
Les clochards surtout vers la gare St Lazare et la place Clichy."
